#ID,NVSS ,FIRST,WENSS,TGSS
#S1.4,e_S1.4,FINT,RMS,Sint,Nse,
1-217041,272.5,9.6,114.30788,0.157165,1621,4.7,
1-569263,225.4,7.6,41.37252,0.14878595,486,3.4,
1-134884,40.7,1.6,3.1595023,0.15512156,212,4.6,
1-207943,114.1,4,56.601147,0.13918582,330,3.3,
1-569162,170.9,6.4,38.389305,0.13370459,499,4.1,
1-548196,177.3,5.8,56.67908,0.13082628,430,3.9,
1-378770,164.6,5.7,9.617426,0.14171562,347,4.3,
1-121737,101.1,4,75.35165,0.1405097,240,3.2,
1-314374,107.4,4.2,57.449768,0.14322342,275,3.7,
1-547290,15.1,0.6,7.102222,0.14531253,44,3.2,
1-548033,38.4,1.9,18.414974,0.13603234,83,3.7,
1-255890,42.2,1.6,4.2238364,0.12997414,99,3.8,
1-236745,50.7,1.9,32.266087,0.13553417,82,3.3,
1-260541,101.3,3.5,46.36289,0.15053806,563,3.4,
1-419288,53.7,2,48.080784,0.14498042,129,2.8,
1-378910,40.3,1.8,12.677336,0.15527618,106,4.4,
1-604860,400.3,12.9,49.132843,0.13036369,1569,4,
1-548622,80.7,2.9,68.37073,0.14451502,413,3.3,
1-394382,54.7,2,14.584812,0.14714609,121,3.1,
1-279314,28.5,1.6,12.4593935,0.12903787,65,3.4,
1-114171,47.6,1.8,31.71559,0.2144533,#N/A,#N/A,
1-378360,12.2,0.5,5.73473,0.1333571,165,4.1,
1-419533,16.5,1.8,#N/A,#N/A,99,2.6,
1-210614,3.8,0.4,3.7400002,0.1473126,#N/A,#N/A,
1-314484,5,0.5,#N/A,#N/A,29,3.4,
1-373327,22.8,1.4,8.417663,0.12460433,48,3.7,
1-47705,110.5,3.9,77.5537,0.24809761,582,4.5,
1-72322,79.1,3.3,9.869663,0.14217527,205,3.3,
1-48760,79.4,3.2,34.296116,0.1597995,171,4.1,
1-91582,96.2,3.5,25.017273,0.15219668,138,3.4,
1-71481,29.8,1.5,6.2965984,0.13151376,92,3.3,
